2018-09-04 15:56:57
520, 15891, 14635, 182683, 171761, 27, 37, 348, 317, 204276, 1831
90, 20528, 19182, 188559, 174677, 46, 32, 353, 390, 209663, 1804
264, 19808, 17427, 166243, 182920, 34, 28, 398, 392, 191809, 1642
232, 20106, 19999, 183033, 184563, 25, 39, 370, 342, 182855, 1611
296, 27029, 13502, 170708, 176350, 31, 36, 348, 379, 205284, 1782
840, 13827, 11471, 171073, 185146, 31, 43, 379, 346, 196018, 1775
584, 21087, 16535, 155712, 199794, 43, 36, 359, 385, 196456, 1844
552, 20013, 19265, 171369, 167714, 34, 28, 387, 333, 191582, 1759
709, 15867, 18813, 174685, 196784, 37, 38, 359, 362, 202102, 1715
872, 15343, 19158, 182772, 187700, 39, 45, 343, 359, 199264, 1758
200, 16970, 18717, 180674, 175664, 46, 31, 398, 384, 186436, 1761
297, 18183, 27027, 170593, 189079, 41, 32, 348, 394, 202562, 1989
201, 20426, 18010, 164103, 169676, 37, 39, 361, 350, 207511, 1864
841, 14331, 17664, 160527, 169518, 41, 37, 359, 362, 220235, 1869
585, 18653, 11730, 175785, 172932, 41, 33, 377, 394, 200245, 1701
91, 16094, 20814, 200530, 170177, 30, 37, 304, 396, 199362, 1879
553, 15694, 17965, 172310, 193661, 30, 30, 387, 392, 200227, 1762
233, 15202, 19364, 203224, 177483, 38, 32, 393, 364, 203224, 1761
873, 26377, 19411, 185802, 210813, 47, 38, 347, 366, 181660, 1739
265, 17041, 12946, 182799, 161274, 32, 34, 364, 370, 196904, 1818
521, 28941, 19535, 188644, 184148, 40, 33, 364, 335, 194523, 1741
202, 19797, 17542, 209472, 178125, 33, 32, 357, 359, 173592, 1603
266, 20389, 16297, 170061, 188875, 38, 35, 325, 358, 198947, 1788
92, 16041, 28331, 183105, 180277, 30, 39, 364, 345, 195426, 1652
874, 14548, 27449, 187614, 175779, 43, 34, 371, 357, 212186, 1903
298, 10050, 17523, 189108, 177523, 44, 34, 360, 373, 187430, 1675
522, 22524, 17334, 192695, 181657, 37, 39, 373, 333, 206326, 1808
554, 22126, 17911, 164370, 175611, 37, 53, 394, 377, 198866, 1823
842, 10194, 18959, 183973, 196380, 38, 36, 365, 378, 194966, 1661
60, 19915, 16799, 187904, 162917, 40, 31, 372, 347, 212085, 1836
234, 11001, 23113, 169434, 206513, 28, 36, 390, 368, 190036, 1760
810, 21668, 17699, 184359, 164743, 38, 30, 352, 382, 189394, 1704
586, 20603, 19567, 148490, 181474, 36, 37, 326, 365, 172698, 1665
875, 19400, 12095, 179619, 172062, 35, 35, 327, 357, 223789, 2047
203, 16950, 19843, 198988, 194101, 36, 36, 352, 401, 192229, 1733
93, 21667, 23271, 177406, 188711, 39, 38, 374, 367, 197934, 1711
843, 22160, 16149, 152938, 188966, 26, 39, 357, 392, 178231, 1653
555, 19792, 18527, 203035, 179754, 34, 32, 394, 344, 197850, 1743
299, 13520, 20391, 182365, 167036, 31, 30, 390, 358, 209529, 1984
587, 17429, 21850, 207891, 190656, 46, 35, 368, 328, 188885, 1774
61, 23859, 14407, 206954, 175043, 38, 50, 354, 344, 209618, 1914
811, 21965, 21403, 174232, 164486, 40, 33, 351, 347, 192612, 1708
267, 14749, 17611, 171550, 185630, 43, 39, 356, 355, 198404, 1798
523, 14238, 15706, 197387, 201876, 39, 35, 388, 363, 193877, 1759
235, 23072, 14646, 177283, 188726, 33, 40, 348, 391, 207952, 1897
876, 22202, 15996, 180858, 179169, 34, 37, 341, 376, 207761, 1988
588, 18824, 16711, 161280, 173919, 32, 29, 402, 368, 174650, 1661
